word,yes_votes,no_votes
phantasm,68,29
phaser,40,16
phew,83,17
phosphite,25,67
piazza,43,41
pilaf,44,19
pima,6,89
pinot,72,41
pinots,20,85
pipage,9,52
pith,66,26
plait,86,16
plait,63,24
plat,21,64
pleb,88,36
poblano,37,80
pointier,94,6
poled,27,71
polenta,55,35
pomade,30,44
poof,55,2
poofs,68,8
popover,17,72
portly,60,10
poseur,28,81
poufed,13,85
pouffe,14,86
pouffed,9,90
pourer,30,69
poutine,87,25
praline,80,22
pram,51,17
prancer,44,49
prat,22,48
prate,19,108
prattle,105,26
prefab,42,54
prehensile,72,29
presort,37,75
prevarication,43,69
primo,45,16
probate,65,22
pronto,93,11
prow,65,26
pumice,66,12
puzzler,81,12
pylon,113,2
pyre,79,7
pyrite,62,25
quark,99,7
quay,61,30
quilter,75,30
quinine,38,34
quixotic,41,37
radioing,27,13
radium,78,5
radon,70,8
rager,87,19
raglan,13,83
raiser,36,42
raja,12,112
ratter,20,75
raunch,29,59
razzle,47,7
reacher,30,48
readier,57,17
reais,2,81
realer,39,50
realtor,122,9
reannex,13,68
rearer,26,53
rearm,86,14
rebind,59,20
recency,51,25
reclad,23,73
recoat,75,22
recode,77,33
recoding,69,39
recrimination,51,60
rector,40,14
redubs,16,76
reducer,87,36
reedier,47,27
reedy,64,9
regatta,75,48
registrable,29,61
reinterpretative,24,104
rejoinder,36,50
relaid,28,66
remap,102,9
replot,45,62
repo,60,33
repos,35,54
reposed,36,43
reposted,86,1
repped,73,30
requite,23,47
requited,57,17
reraise,24,53
reship,59,55
reshipped,59,55
reshipping,44,67
restrainer,78,39
resuscitable,16,63
retcon,26,64
reteach,77,45
reticle,27,64
retinue,24,54
retrod,13,61
reune,2,61
revote,37,28
revue,43,66
revue,53,34
rewake,8,68
rhodium,78,39
rhombi,40,75
rhombus,121,1
rhombuses,96,13
riblet,5,50
riced,67,56
riffle,29,67
rifted,26,68
rile,77,2
ringlet,47,9
ripely,20,62
roan,21,58
rodeoed,9,81
roily,2,68
romanticism,121,9
romanticist,45,78
roper,31,45
rosacea,25,52
rosier,73,8
rotator,88,5
rouge,103,7
rouser,25,83
royalist,54,29
rube,53,48
ruble,55,27
rubles,54,14
rupee,66,13
rupee,91,5
rutted,76,32
sable,87,22
sables,32,61
sager,16,55
salinity,95,13
saltine,63,47
salutatorian,25,88
samba,63,7
sari,45,38
sasquatch,91,18
sassafras,45,27
savanna,52,59
savannah,109,10
scads,28,74
scalar,58,23
scarfs,73,31
scarily,110,3
scathe,78,33
scree,43,68
screed,42,59
scrip,11,63
scry,55,60
sectoring,74,7
sequoia,78,16
shad,11,77
shah,17,45
shalt,51,13
shandy,27,48
shanty,70,5
shea,59,34
shire,76,11
shit,58,33
shoal,85,24
shod,48,53
sicced,29,78
siccing,19,85
sics,34,72
sidecar,67,4
sienna,74,40
sierra,87,31
siesta,114,9
silty,11,57
simper,43,58
simpering,45,57
sissies,33,34
skein,76,71
slangier,8,78
sledder,24,62
sloop,36,47
sloop,42,26
sloven,18,55
sloven,13,58
sluice,74,43
snit,60,43
soba,26,36
soberer,24,96
soiree,37,22
sonata,60,2
sorrier,38,42
sortie,19,56
spats,86,9
spoked,37,57
sprat,13,60
spud:,83,12
squalid,94,28
squaredle,39,17
squarish,23,62
squib,49,46
sriracha,37,54
stagehand,59,9
statically,76,28
stevia,22,62
stickle,7,78
storable,76,17
stouts,74,20
strata,55,4
stratum,38,44
strep,63,26
subsonic,75,25
suet,61,54
sugared,59,27
sulfide,63,33
sulfite,63,28
sump,44,36
sunup,18,80
supers,21,101
supine,43,23
sups,25,55
surefooted,83,29
surety,28,62
suss,45,38
swash,23,39
swearer,21,75
synaptic,69,43
tamp,60,23
tannin,19,35
tapir,70,9
tare,77,6
tarnation,80,30
taro,58,25
taro,61,16
tartan,72,20
tartan,65,22
tartans,74,20
tartare,48,49
taupe,93,18
tawny,86,24
taxer,62,19
taxon,20,74
techie,30,44
teenier,39,42
temp,107,4
temped,38,63
testier,55,39
testier,65,6
thither,22,83
throe,13,62
throes,47,27
thru,46,38
thwack,51,37
tikis,72,44
timbre,75,48
titer,17,55
toastier,97,8
toboggan,92,20
tonal,87,2
topology,93,2
torque,108,5
torqued,40,61
totter,60,27
townie,29,57
traipse,72,35
traipsing,73,35
trawl,65,10
treacle,66,35
trebles,80,30
treed,41,78
treeing,20,94
tricep,24,61
tricep,84,11
tripe,76,21
triply,20,58
trivet,60,47
tropically,89,12
trotter,74,22
trouper,33,77
truancy,82,15
truant,82,18
tryst,91,11
tsked,14,89
turnable,43,48
turnable,43,22
tuts,33,56
tuxes,71,24
twerk,81,24
ukes,17,61
ulcerating,23,88
ulceration,33,79
ulna,49,52
ulna,38,39
ulnar,12,62
umber,52,45
umbrage,60,47
umped,12,80
umps,35,61
unchic,8,69
uncoy,4,82
uncrate,24,94
unexplainable,118,4
unfelt,49,33
unmentionables,62,34
unpeg,14,78
unworn,104,4
uprise,82,6
uprose,8,73
usury,50,61
utterings,71,2
vaguer,66,28
vale,74,9
valuate,38,78
vape,72,8
vaunt,26,60
veined,68,16
velour,53,71
veranda,105,18
verandah,8,107
verily,27,52
verily,51,35
verity,48,37
vesper,11,98
vespers,29,80
vibrato,62,23
vicar,59,21
vicar,67,27
vier,17,62
vies,79,8
viler,55,16
vilest,62,10
viny,23,52
viol,11,62
vocab,75,25
vot,76,4
voyeur,92,11
wader,52,40
waked,12,72
walleye,21,42
warier,46,32
warplane,35,66
warren,65,23
wasabi,95,2
waterer,19,83
waterway,111,3
weal,26,83
wearier,89,3
wellies,22,68
whaler,63,32
wheedle,36,77
wizen,17,66
wizened,58,30
wolfish,59,38
wonk,33,71
word,44,27
worrier,82,7
wort,32,66
wrack,67,23
wreathe,57,44
xerox,30,64
yawner,24,90
yaws,37,52
yaws,39,18
yeas,27,63
yeller,15,23
yeti,84,3
yews,80,40
yipe,7,77
yips,54,24
yogi,54,46
yore,65,14
yuan,38,44
yurt,85,29
yurt,52,30
zenith,104,1
zephyr,90,17
zeppelin,106,12
zonal,70,37
