word,yes_votes,no_votes
actuarially,0,0
actuaries,0,0
actuary,0,0
actuate,0,0
actuated,0,0
actuates,0,0
actuating,0,0
actuation,0,0
actuations,0,0
actuator,0,0
actuators,0,0
acuity,0,0
acumen,0,0
acupressure,0,0
acupuncture,0,0
acupuncturist,0,0
acupuncturists,0,0
acute,0,0
acutely,0,0
acuteness,0,0
acyclic,9,67
ad,0,0
adage,0,0
adages,0,0
adagio,0,0
adamant,0,0
adamantine,0,0
adamantly,0,0
adapt,0,0
adaptability,0,0
adaptable,0,0
adaptation,0,0
adaptations,0,0
adapted,0,0
adapter,0,0
adapters,0,0
adapting,0,0
adaption,0,0
adaptions,0,0
adaptive,0,0
adaptively,0,0
adaptogen,0,0
adaptogenic,0,0
adaptogens,0,0
adaptor,0,0
adaptors,0,0
adapts,0,0
add,0,0
added,0,0
addend,0,0
addenda,0,0
addends,0,0
addendum,0,0
addendums,0,0
adder,0,0
adders,0,0
addict,0,0
addicted,0,0
addicting,0,0
addiction,0,0
addictions,0,0
addictive,0,0
addictiveness,0,0
addicts,0,0
adding,0,0
addition,0,0
additional,0,0
additionally,0,0
additions,0,0
additive,0,0
additively,0,0
additives,0,0
addled,0,0
address,0,0
addressable,0,0
addressed,0,0
addressee,0,0
addressees,0,0
addresses,0,0
addressing,0,0
adds,0,0
adduce,0,0
adduced,0,0
adduces,0,0
adducing,0,0
addy,0,0
adenine,0,0
adenocarcinoma,0,0
adenocarcinomas,0,0
adenoid,0,0
adenoids,0,0
adenoma,0,0
adenomas,0,0
adenosine,0,0
adept,0,0
adeptly,0,0
adeptness,0,0
adequacy,0,0
adequate,0,0
adequately,0,0
adhere,0,0
adhered,0,0
adherence,0,0
adherent,0,0
adherents,0,0
adheres,0,0
adhering,0,0
adhesion,0,0
adhesions,0,0
adhesive,0,0
adhesives,0,0
adieu,0,0
adios,0,0
adipocyte,0,0
adipocytes,0,0
adipose,0,0
adiposity,0,0
adjacencies,0,0
adjacency,0,0
adjacent,0,0
adjectival,0,0
adjective,0,0
adjectives,0,0
adjoin,0,0
adjoined,0,0
adjoining,0,0
adjoins,0,0
adjourn,0,0
adjourned,0,0
adjourning,0,0
adjournment,0,0
adjournments,0,0
adjourns,0,0
adjudge,0,0
adjudged,0,0
adjudges,0,0
adjudging,0,0
adjudicate,0,0
adjudicated,0,0
adjudicates,0,0
adjudicating,0,0
adjudication,0,0
adjudications,0,0
adjudicative,0,0
adjudicator,0,0
adjudicators,0,0
adjudicatory,0,0
adjunct,0,0
adjunctive,0,0
adjuncts,0,0
adjust,0,0
adjustability,0,0
adjustable,0,0
adjusted,0,0
adjuster,0,0
adjusters,0,0
adjusting,0,0
adjustment,0,0
adjustments,0,0
adjusts,0,0
adjutant,0,0
adjutants,0,0
adjuvant,0,0
adjuvants,0,0
admin,0,0
administer,0,0
administered,0,0
administering,0,0
administers,0,0
administrate,0,0
administrated,0,0
administrates,0,0
administrating,0,0
administration,0,0
administrations,0,0
administrative,0,0
administratively,0,0
administrator,0,0
administrators,0,0
admins,0,0
admirable,0,0
admirably,0,0
admiral,0,0
admirals,0,0
admiralty,0,0
admiration,0,0
admire,0,0
admired,0,0
admirer,0,0
admirers,0,0
admires,0,0
admiring,0,0
admiringly,0,0
admissibility,0,0
admissible,0,0
admission,0,0
admissions,0,0
admit,0,0
admits,0,0
admittance,0,0
admitted,0,0
admittedly,0,0
admitting,0,0
admixture,0,0
admixtures,0,0
admonish,0,0
admonished,0,0
admonishes,0,0
admonishing,0,0
admonishment,0,0
admonishments,0,0
admonition,0,0
admonitions,0,0
ado,0,0
adobe,52,11
adobo,0,0
adolescence,0,0
adolescent,0,0
adolescents,0,0
adopt,0,0
adoptable,0,0
adopted,0,0
adoptee,0,0
adoptees,0,0
adopter,0,0
adopters,0,0
adopting,0,0
adoption,0,0
adoptions,0,0
adoptive,0,0
adopts,0,0
adorable,0,0
adorableness,0,0
adorably,0,0
adoration,0,0
adore,0,0
adored,0,0
adores,0,0
adoring,0,0
adoringly,0,0
adorn,0,0
adorned,0,0
adorning,0,0
adornment,0,0
adornments,0,0
adorns,0,0
adrenal,0,0
adrenalin,0,0
adrenaline,0,0
adrenals,0,0
adrift,0,0
adroit,0,0
adroitly,0,0
ads,0,0
adsorb,0,0
adsorbed,0,0
adsorbent,0,0
adsorbents,0,0
adsorbing,0,0
adsorbs,0,0
adsorption,0,0
adulation,0,0
adult,0,0
adulterant,0,0
adulterants,0,0
adulterate,0,0
adulterated,0,0
adulterates,0,0
adulterating,0,0
adulteration,0,0
adulterer,0,0
adulterers,0,0
adulteress,0,0
adulteresses,0,0
adulteries,0,0
adulterous,0,0
adultery,0,0
adulthood,0,0
adults,0,0
advance,0,0
advanced,0,0
advancement,0,0
advancements,0,0
advances,0,0
advancing,0,0
advantage,0,0
advantaged,0,0
advantageous,0,0
advantageously,0,0
advantages,0,0
advent,0,0
advents,0,0
adventure,0,0
adventured,0,0
adventurer,0,0
adventurers,0,0
adventures,0,0
adventuresome,0,0
adventuring,0,0
adventurous,0,0
adventurously,0,0
adventurousness,0,0
adverb,0,0
adverbs,0,0
adversarial,0,0
adversaries,0,0
adversary,0,0
adverse,0,0
adversely,0,0
adversities,0,0
adversity,0,0
advert,0,0
advertise,0,0
advertised,0,0
advertisement,0,0
advertisements,0,0
advertiser,0,0
advertisers,0,0
advertises,0,0
advertising,0,0
advertorial,0,0
advertorials,0,0
adverts,0,0
advice,0,0
advisability,0,0
advisable,0,0
advise,0,0
advised,0,0
advisedly,0,0
advisement,0,0
adviser,0,0
advisers,0,0
advises,0,0
advising,0,0
advisor,0,0
advisories,0,0
advisors,0,0
advisory,0,0
advocacy,0,0
advocate,0,0
advocated,0,0
advocates,0,0
advocating,0,0
adware,11,80
aeon,0,0
aeons,0,0
aerate,0,0
aerated,0,0
aerates,0,0
aerating,0,0
aeration,0,0
aerator,0,0
aerators,0,0
aerial,0,0
aerialist,0,0
aerialists,0,0
aerials,0,0
aero,0,0
aerobatic,0,0
aerobatics,0,0
aerobic,0,0
aerobically,0,0
aerobics,0,0
aerodrome,0,0
aerodromes,0,0
aerodynamic,0,0
aerodynamically,0,0
aerodynamics,0,0
aeronautic,0,0
aeronautical,0,0
aeronautics,0,0
aeroplane,0,0
aeroplanes,0,0
aerosol,0,0
aerosolisation,0,0
aerosolise,0,0
aerosolised,0,0
aerosolises,0,0
aerosolising,0,0
aerosolization,0,0
aerosolize,0,0
aerosolized,0,0
aerosolizes,0,0
aerosolizing,0,0
aerosols,0,0
aerospace,0,0
aesthete,0,0
aesthetes,0,0
aesthetic,0,0
aesthetically,0,0
aesthetician,0,0
aestheticians,0,0
aesthetics,0,0
aether,0,0
afar,0,0
affability,0,0
affable,0,0
affably,0,0
affair,0,0
affairs,0,0
affect,0,0
affectation,0,0
affectations,0,0
affected,0,0
affecting,0,0
affectingly,0,0
affection,0,0
affectionate,0,0
affectionately,0,0
affections,0,0
affective,0,0
affectively,0,0
affects,0,0
afferent,0,0
afferents,0,0
affidavit,0,0
affidavits,0,0
affiliate,0,0
affiliated,0,0
affiliates,0,0
affiliating,0,0
affiliation,0,0
affiliations,0,0
affinities,0,0
